###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_5552.jpg		no	0:00	0:05	0.000	5.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5512.jpg		no	0:05	0:10	5.000	10.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5515.jpg		no	0:10	0:15	10.000	15.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5518.jpg		no	0:15	0:20	15.000	20.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5521.jpg		no	0:20	0:25	20.000	25.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5524.jpg		no	0:25	0:30	25.000	30.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5525.jpg		no	0:30	0:35	30.000	35.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5530.jpg		no	0:35	0:40	35.000	40.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5533.jpg		no	0:40	0:45	40.000	45.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5536.jpg		no	0:45	0:50	45.000	50.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5537.jpg		no	0:50	0:55	50.000	55.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5540.jpg		no	0:55	1:00	55.000	60.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5543.jpg		no	1:00	1:05	60.000	65.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5546.jpg		no	1:05	1:10	65.000	70.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5549.jpg		no	1:10	1:15	70.000	75.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5552.jpg		no	1:15	1:20	75.000	80.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5555.jpg		no	1:20	1:25	80.000	85.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5558.jpg		no	1:25	1:30	85.000	90.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5563.jpg		no	1:30	1:35	90.000	95.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5566.jpg		no	1:35	1:40	95.000	100.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5569.jpg		no	1:40	1:45	100.000	105.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5572.jpg		no	1:45	1:50	105.000	110.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5575.jpg		no	1:50	1:55	110.000	115.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5578.jpg		no	1:55	2:00	115.000	120.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5581.jpg		no	2:00	2:05	120.000	125.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5584.jpg		no	2:05	2:10	125.000	130.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5590.jpg		no	2:10	2:15	130.000	135.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5593.jpg		no	2:15	2:20	135.000	140.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5594.jpg		no	2:20	2:25	140.000	145.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5599.jpg		no	2:25	2:30	145.000	150.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5602.jpg		no	2:30	2:35	150.000	155.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5605.jpg		no	2:35	2:40	155.000	160.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5608.jpg		no	2:40	2:45	160.000	165.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5611.jpg		no	2:45	2:50	165.000	170.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5612.jpg		no	2:50	2:55	170.000	175.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5615.jpg		no	2:55	3:00	175.000	180.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
IMG_5618.jpg		no	3:00	3:05	180.000	185.000	5.000	Berlin, Nordeutschland			8.5.04 (Sa) 12:00		
Scrsh_2302.jpg		no	3:05	3:10	185.000	190.000	5.000			2004:05:08 12:00:00			
Scrsh_2303.jpg		no	3:10	3:15	190.000	195.000	5.000			2004:05:08 12:00:00			
