###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_Scrsh_9270.jpg		no	0:00	0:05	0.000	5.000	5.000						
IMG_9850.jpg		no	0:05	0:10	5.000	10.000	5.000						
IMG_9851.jpg		no	0:10	0:15	10.000	15.000	5.000						
IMG_9852.jpg		no	0:15	0:20	15.000	20.000	5.000						
IMG_9853.jpg		no	0:20	0:25	20.000	25.000	5.000						
IMG_9854.jpg		no	0:25	0:30	25.000	30.000	5.000						
IMG_9855.jpg		no	0:30	0:35	30.000	35.000	5.000						
IMG_9856.jpg		no	0:35	0:40	35.000	40.000	5.000						
IMG_9857.jpg		no	0:40	0:45	40.000	45.000	5.000						
IMG_9858.jpg		no	0:45	0:50	45.000	50.000	5.000						
IMG_9859.jpg		no	0:50	0:55	50.000	55.000	5.000						
IMG_9860.jpg		no	0:55	1:00	55.000	60.000	5.000						
IMG_9861.jpg		no	1:00	1:05	60.000	65.000	5.000						
IMG_9862.jpg		no	1:05	1:10	65.000	70.000	5.000						
Scrsh_9270.jpg		no	1:10	1:15	70.000	75.000	5.000						
